2026-09-18 10:37:00 [16c38d6b] INFO     api — GET /api/health status=200 latency=4ms
2026-09-18 10:37:00 [-] INFO     httpx2 — HTTP Request: GET http://testserver/api/health "HTTP/1.1 200 OK"
2026-09-18 10:37:00 [1e1c6ebc] INFO     core.data_quality — Profiled 'employees.csv': 3 rows, 4 cols, 0 dups, 0 nulls, 0 warnings
2026-09-18 10:37:00 [1e1c6ebc] INFO     session_store — Session created: 91565112
2026-09-18 10:37:00 [1e1c6ebc] INFO     session_store — Session 91565112: stored 'employees.csv' shape=(3, 4)
2026-09-18 10:37:00 [1e1c6ebc] INFO     api — Session 91565112: stored 'employees.csv' (3, 4)
2026-09-18 10:37:00 [1e1c6ebc] INFO     api — POST /api/upload status=200 latency=12ms
2026-09-18 10:37:00 [-] INFO     httpx2 — HTTP Request: POST http://testserver/api/upload "HTTP/1.1 200 OK"
2026-09-18 10:37:00 [c919c418] INFO     api — POST /api/upload status=400 latency=1ms
2026-09-18 10:37:00 [-] INFO     httpx2 — HTTP Request: POST http://testserver/api/upload "HTTP/1.1 400 Bad Request"
2026-09-18 10:37:00 [de4f9bb9] INFO     api — POST /api/upload status=400 latency=1ms
2026-09-18 10:37:00 [-] INFO     httpx2 — HTTP Request: POST http://testserver/api/upload "HTTP/1.1 400 Bad Request"
2026-09-18 10:37:00 [241f5553] INFO     api — GET /api/files status=200 latency=0ms
2026-09-18 10:37:00 [-] INFO     httpx2 — HTTP Request: GET http://testserver/api/files?session_id=a204f8f1-ce41-480a-8c43-50648b80e7c9 "HTTP/1.1 200 OK"
2026-09-18 10:37:00 [014134c3] INFO     core.data_quality — Profiled 'emp.csv': 3 rows, 4 cols, 0 dups, 0 nulls, 0 warnings
2026-09-18 10:37:00 [014134c3] INFO     session_store — Session created: 52b4e3a1
2026-09-18 10:37:00 [014134c3] INFO     session_store — Session 52b4e3a1: stored 'emp.csv' shape=(3, 4)
2026-09-18 10:37:00 [014134c3] INFO     api — Session 52b4e3a1: stored 'emp.csv' (3, 4)
2026-09-18 10:37:00 [014134c3] INFO     api — POST /api/upload status=200 latency=10ms
